starting_date, ending_date, type, states, notes
25/3/2020, 31/5/2020, lockdown, all
1/6/2020, 31/7/2020, night curfew, all
1/8/2020, 31/8/2020, lockdown, Maharashtra&Tamil Nadu
5/8/2020, 5/8/2020, lockdown, West Bengal
8/8/2020, 8/8/2020, lockdown, West Bengal
16/8/2020, 17/8/2020, lockdown, West Bengal
23/8/2020, 24/8/2020, lockdown, West Bengal
31/8/2020, 31/8/2020, lockdown, West Bengal
5/4/2021, 15/6/2020, lockdown, all
26/1, 26/1, holiday, all, Republic Day
15/8, 15/8, holiday, all, Independence Day
2/10, 2/10, holiday, all, Gandhi Jayanti
1/1, 1/1, holiday, all, New Year's Day
13/1, 17/1, holiday, Maharashtra&Telangana&&Tamil Nadu, Sankranthi/Pongal
14/1, 16/1, holiday, Tamil Nadu, Uttarayan + Surya/Maatu/Kaanum Pongal
18/1, 18/1, holiday, Tamil Nadu, Thaipusam
23/1, 23/1, holiday, West Bengal, Netaji Subhas Chandra Bose's Jayanti (Parakram Divas)
30/1, 30/1, holiday, all, Mahatma Gandhi's Death Anniversary
19/2, 19/2, holiday, Maharashtra, Chhatrapati Shivaji Maharaj Jayanti
26/2, 26/2, holiday, all, Hazrat Ali Jayanti
15/3, 15/3, holiday, Uttar Pradesh, Kanshi Ram's Jayanti
14/4, 14/4, holiday, Karnataka&Uttar Pradesh&Maharashtra&West Bengal&Telangana&Tamil Nadu, Dr. Babasaheb Ambedkar's Jayanti
14/4, 15/4, holiday, Tamil Nadu&West Bengal,
1/5, 1/5, holiday, Karnataka&Tamil Nadu&West Bengal&Maharashtra, Labor Day/Maharashtra Day
9/5, 9/5, holiday, West Bengal, Rabindra Jayanti
2/6, 2/6, holiday, Telangana, Telangana Formation Day
1/11, 1/11, holiday, Karnataka, Karnataka Rajyotsava
